DAY,HOUR,STEPS,WAKE,DEEP,LIGHT,REM,ASLEEP,RESTLESS,PREDICTION,CONFIDENCE
30/12/2020,11:00:00,704,1530,5850,13650,6750,32070,0,Neutral,0.496211916
30/12/2020,12:00:00,66,1530,5850,13650,6750,32070,0,Surprise,0.465663999
30/12/2020,13:00:00,210,1530,5850,13650,6750,32070,0,Happiness,0.755610883
30/12/2020,14:00:00,945,1530,5850,13650,6750,32070,0,Disgust,0.438469678
30/12/2020,15:00:00,205,1530,5850,13650,6750,32070,0,Surprise,0.452927709
30/12/2020,16:00:00,239,1530,5850,13650,6750,32070,0,Sadness,0.435526073
30/12/2020,17:00:00,420,1530,5850,13650,6750,32070,0,Happiness,0.830757976
30/12/2020,18:00:00,61,1530,5850,13650,6750,32070,0,Surprise,0.676154077
30/12/2020,19:00:00,0,1530,5850,13650,6750,32070,0,Surprise,0.676154077
30/12/2020,20:00:00,248,1530,5850,13650,6750,32070,0,Happiness,0.88107121
30/12/2020,21:00:00,171,1530,5850,13650,6750,32070,0,Contempt,0.482982159
30/12/2020,22:00:00,327,1530,5850,13650,6750,32070,0,Neutral,0.515812278
30/12/2020,23:00:00,161,1530,5850,13650,6750,32070,0,Surprise,0.403922349
31/12/2020,11:00:00,336,1230,7350,19470,7350,34170,0,Disgust,0.67663902
31/12/2020,12:00:00,3564,1230,7350,19470,7350,34170,0,Happiness,0.711326182
31/12/2020,13:00:00,3549,1230,7350,19470,7350,34170,0,Happiness,0.917875111
31/12/2020,14:00:00,299,1230,7350,19470,7350,34170,0,Contempt,0.353490293
31/12/2020,15:00:00,351,1230,7350,19470,7350,34170,0,Happiness,0.876330137
31/12/2020,16:00:00,439,1230,7350,19470,7350,34170,0,Happiness,0.34400928
31/12/2020,17:00:00,126,1230,7350,19470,7350,34170,0,None,0.302055299
31/12/2020,18:00:00,308,1230,7350,19470,7350,34170,0,None,0.302055299
31/12/2020,19:00:00,689,1230,7350,19470,7350,34170,0,Happiness,0.47729525
31/12/2020,20:00:00,490,1230,7350,19470,7350,34170,0,None,0.470910996
31/12/2020,21:00:00,952,1230,7350,19470,7350,34170,0,Surprise,0.756677628
31/12/2020,22:00:00,420,1230,7350,19470,7350,34170,0,Surprise,0.638191104
31/12/2020,23:00:00,510,1230,7350,19470,7350,34170,0,Happiness,0.900335491
01/01/2021,12:00:00,957,2310,6210,10560,7440,27930,300,Happiness,0.337085992
01/01/2021,13:00:00,1325,2310,6210,10560,7440,27930,300,Contempt,0.37016499
01/01/2021,14:00:00,343,2310,6210,10560,7440,27930,300,Happiness,0.917475283
01/01/2021,15:00:00,163,2310,6210,10560,7440,27930,300,Surprise,0.511065185
01/01/2021,16:00:00,255,2310,6210,10560,7440,27930,300,Sadness,0.40298155
01/01/2021,17:00:00,257,2310,6210,10560,7440,27930,300,Neutral,0.601176679
01/01/2021,18:00:00,498,2310,6210,10560,7440,27930,300,Sadness,0.694364786
01/01/2021,19:00:00,417,2310,6210,10560,7440,27930,300,Happiness,0.435587257
01/01/2021,20:00:00,120,2310,6210,10560,7440,27930,300,Happiness,0.939054191
01/01/2021,21:00:00,57,2310,6210,10560,7440,27930,300,Happiness,0.867832839
01/01/2021,22:00:00,453,2310,6210,10560,7440,27930,300,Happiness,0.919901907
01/01/2021,23:00:00,45,2310,6210,10560,7440,27930,300,Happiness,0.940105259
02/01/2021,11:00:00,1301,1680,5100,13620,6600,25320,0,Fear,0.86634177
02/01/2021,12:00:00,837,1680,5100,13620,6600,25320,0,Fear,0.941884696
02/01/2021,13:00:00,710,1680,5100,13620,6600,25320,0,Surprise,0.449247777
02/01/2021,14:00:00,519,1680,5100,13620,6600,25320,0,Happiness,0.872056603
02/01/2021,15:00:00,714,1680,5100,13620,6600,25320,0,Happiness,0.915493369
02/01/2021,16:00:00,665,1680,5100,13620,6600,25320,0,Happiness,0.897218883
02/01/2021,17:00:00,570,1680,5100,13620,6600,25320,0,Happiness,0.962552309
02/01/2021,18:00:00,510,1680,5100,13620,6600,25320,0,Happiness,0.759443998
02/01/2021,19:00:00,307,1680,5100,13620,6600,25320,0,Happiness,0.356367797
02/01/2021,20:00:00,185,1680,5100,13620,6600,25320,0,Surprise,0.456471056
02/01/2021,21:00:00,108,1680,5100,13620,6600,25320,0,Happiness,0.483120412
02/01/2021,22:00:00,375,1680,5100,13620,6600,25320,0,Happiness,0.627257228
02/01/2021,23:00:00,26,1680,5100,13620,6600,25320,0,Happiness,0.964051127
03/01/2021,11:00:00,601,1830,5910,19110,8250,33270,0,Sadness,0.476701587
03/01/2021,12:00:00,293,1830,5910,19110,8250,33270,0,Happiness,0.55789274
03/01/2021,13:00:00,0,1830,5910,19110,8250,33270,0,Contempt,0.29150942
03/01/2021,14:00:00,298,1830,5910,19110,8250,33270,0,Neutral,0.561322153
03/01/2021,15:00:00,96,1830,5910,19110,8250,33270,0,Happiness,0.693358004
03/01/2021,16:00:00,208,1830,5910,19110,8250,33270,0,Surprise,0.551608145
03/01/2021,17:00:00,186,1830,5910,19110,8250,33270,0,Happiness,0.625357032
03/01/2021,18:00:00,415,1830,5910,19110,8250,33270,0,Uncertain,0.321106613
03/01/2021,19:00:00,204,1830,5910,19110,8250,33270,0,Sadness,0.476450562
03/01/2021,20:00:00,19,1830,5910,19110,8250,33270,0,Neutral,0.60668081
03/01/2021,21:00:00,263,1830,5910,19110,8250,33270,0,Neutral,0.462726355
03/01/2021,22:00:00,0,1830,5910,19110,8250,33270,0,Happiness,0.94604212
03/01/2021,23:00:00,0,1830,5910,19110,8250,33270,0,Happiness,0.583013535
04/01/2021,11:00:00,529,2820,5040,19950,7050,32040,0,Surprise,0.606661201
04/01/2021,12:00:00,110,2820,5040,19950,7050,32040,0,Sadness,0.993694484
04/01/2021,13:00:00,210,2820,5040,19950,7050,32040,0,Happiness,0.788237214
04/01/2021,14:00:00,584,2820,5040,19950,7050,32040,0,Happiness,0.959321856
04/01/2021,15:00:00,598,2820,5040,19950,7050,32040,0,Sadness,0.743104637
04/01/2021,16:00:00,30,2820,5040,19950,7050,32040,0,Neutral,0.629748464
04/01/2021,17:00:00,283,2820,5040,19950,7050,32040,0,Sadness,0.97688067
04/01/2021,18:00:00,166,2820,5040,19950,7050,32040,0,Neutral,0.628554523
04/01/2021,19:00:00,130,2820,5040,19950,7050,32040,0,Neutral,0.628554523
04/01/2021,20:00:00,75,2820,5040,19950,7050,32040,0,Sadness,0.979332268
04/01/2021,21:00:00,45,2820,5040,19950,7050,32040,0,Sadness,0.988904178
04/01/2021,22:00:00,50,2820,5040,19950,7050,32040,0,Sadness,0.953004599
04/01/2021,23:00:00,15,2820,5040,19950,7050,32040,0,Sadness,0.973642826
05/01/2021,11:00:00,900,2400,4590,18000,6870,29460,0,Sadness,0.711423695
05/01/2021,12:00:00,337,2400,4590,18000,6870,29460,0,Neutral,0.667877674
05/01/2021,13:00:00,1375,2400,4590,18000,6870,29460,0,Neutral,0.646755934
05/01/2021,14:00:00,429,2400,4590,18000,6870,29460,0,Happiness,0.930761278
05/01/2021,15:00:00,206,2400,4590,18000,6870,29460,0,Fear,0.836347163
05/01/2021,16:00:00,439,2400,4590,18000,6870,29460,0,Happiness,0.385065764
05/01/2021,17:00:00,9,2400,4590,18000,6870,29460,0,Happiness,0.667975247
05/01/2021,18:00:00,99,2400,4590,18000,6870,29460,0,Happiness,0.380769789
05/01/2021,19:00:00,372,2400,4590,18000,6870,29460,0,Neutral,0.549532473
05/01/2021,20:00:00,456,2400,4590,18000,6870,29460,0,Happiness,0.751362562
05/01/2021,21:00:00,38,2400,4590,18000,6870,29460,0,Neutral,0.647550702
05/01/2021,22:00:00,0,2400,4590,18000,6870,29460,0,Fear,0.72835809
05/01/2021,23:00:00,475,2400,4590,18000,6870,29460,0,Happiness,0.454056889
06/01/2021,11:00:00,736,2310,5130,12870,6390,24390,0,Happiness,0.937984705
06/01/2021,12:00:00,346,2310,5130,12870,6390,24390,0,Happiness,0.870317817
06/01/2021,13:00:00,341,2310,5130,12870,6390,24390,0,Happiness,0.385718733
06/01/2021,14:00:00,100,2310,5130,12870,6390,24390,0,Neutral,0.626038432
06/01/2021,15:00:00,203,2310,5130,12870,6390,24390,0,Neutral,0.626038432
06/01/2021,16:00:00,113,2310,5130,12870,6390,24390,0,Fear,0.585366547
06/01/2021,17:00:00,113,2310,5130,12870,6390,24390,0,Sadness,0.820740461
06/01/2021,18:00:00,95,2310,5130,12870,6390,24390,0,Sadness,0.931373119
06/01/2021,19:00:00,178,2310,5130,12870,6390,24390,0,Contempt,0.38395077
06/01/2021,20:00:00,305,2310,5130,12870,6390,24390,0,Surprise,0.733464241
06/01/2021,21:00:00,0,2310,5130,12870,6390,24390,0,Surprise,0.624045372
06/01/2021,22:00:00,24,2310,5130,12870,6390,24390,0,Fear,0.579161108
06/01/2021,23:00:00,228,2310,5130,12870,6390,24390,0,Happiness,0.33456722
